Value,Year,President
511,1991,Akbar Hashemi Rafsanjani
655,1992,Akbar Hashemi Rafsanjani
890,1993,Akbar Hashemi Rafsanjani
1221,1994,Akbar Hashemi Rafsanjani
1725,1995,Akbar Hashemi Rafsanjani
2194,1996,Akbar Hashemi Rafsanjani
2779,1997,Mohammad Khatami
3206,1998,Mohammad Khatami
4172,1999,Mohammad Khatami
5731,2000,Mohammad Khatami
6163,2001,Mohammad Khatami
6907,2002,Mohammad Khatami
8193,2003,Mohammad Khatami
8613,2004,Mohammad Khatami
8963,2005,Mahmoud Ahmadinejad
9170,2006,Mahmoud Ahmadinejad
9281,2007,Mahmoud Ahmadinejad
9428,2008,Mahmoud Ahmadinejad
9864,2009,Mahmoud Ahmadinejad
10254,2010,Mahmoud Ahmadinejad
10616,2011,Mahmoud Ahmadinejad
12175,2012,Mahmoud Ahmadinejad
18414,2013,Hassan Rouhani
25941,2014,Hassan Rouhani
29011,2015,Hassan Rouhani
30914,2016,Hassan Rouhani
33226,2017,Hassan Rouhani
40864,2018,Hassan Rouhani
140000,2019,Hassan Rouhani
180000,2020,Hassan Rouhani
