Population,Year,President
57679034.00000001,1991,Akbar Hashemi Rafsanjani
58780370.0,1992,Akbar Hashemi Rafsanjani
59723764.0,1993,Akbar Hashemi Rafsanjani
60590614.0,1994,Akbar Hashemi Rafsanjani
61442664.00000001,1995,Akbar Hashemi Rafsanjani
62294920.0,1996,Akbar Hashemi Rafsanjani
63136312.00000001,1997,Mohammad Khatami
63971835.99999999,1998,Mohammad Khatami
64800880.0,1999,Mohammad Khatami
65623405.0,2000,Mohammad Khatami
66449112.00000001,2001,Mohammad Khatami
67284796.0,2002,Mohammad Khatami
68122938.0,2003,Mohammad Khatami
68951281.0,2004,Mohammad Khatami
69762347.00000001,2005,Mahmoud Ahmadinejad
70554760.0,2006,Mahmoud Ahmadinejad
71336475.0,2007,Mahmoud Ahmadinejad
72120604.0,2008,Mahmoud Ahmadinejad
72924837.0,2009,Mahmoud Ahmadinejad
73762519.0,2010,Mahmoud Ahmadinejad
74634957.0,2011,Mahmoud Ahmadinejad
75539878.0,2012,Mahmoud Ahmadinejad
76481961.0,2013,Hassan Rouhani
77465770.0,2014,Hassan Rouhani
78492215.0,2015,Hassan Rouhani
79563989.0,2016,Hassan Rouhani
80673883.0,2017,Hassan Rouhani
81800188.0,2018,Hassan Rouhani
83000000.0,2019,Hassan Rouhani
85000000.0,2020,Hassan Rouhani
